ProcessID,Name,End-to-End Business Process,Business Area
85251,OTC600,Order to Cash,Sales and Distribution
85381,Call Outbound Delivery,Delivery and Billing Process,Sales and Distribution
85496,E2E - OTC - SAPGUI - RPA,Order to Cash,Sales and Distribution
85619,SAP - Create Sales Order,Sales Order Process,Sales and Distribution
85793,BA_SAPGUI_CreateOrder_With Simple Recordset and Launch and Logout,Order Creation Process,Sales and Distribution
85974,SAP GUI Order,Order to Cash,Sales and Distribution
86016,SAP GUI Order,Order to Cash,Sales and Distribution
86020,SAP GUI Order with Perfecto,Order to Cash,Sales and Distribution
86034,WebGUI_SAP GUI Order,Order to Cash,Sales and Distribution
86121,Fiori Outbound Delivery VL01N,Order to Cash,Sales and Distribution
86266,Integrated_CreateOrder,Order Creation Process,Sales and Distribution
86284,Outlook_OTC_StandardOrder_GNaik,Order to Cash,Sales and Distribution
86367,OTC_CreateSalesOrder_PickpackShipping,Order to Cash,Sales and Distribution
